"item_id","result","date","new_value"
"1","43.6449458289","2019-04-19","24.0"
"2","23.022208629","2019-08-03","96.0"
"3","27.302747404999998","1899-12-30","27.0"
"4","18.5759486892","1899-12-30","18.5"
"5","20.5411696462","2019-05-16","10.0"
"6","13.601735724200001","2019-04-10","56.0"
"7","75.57770728199999","2019-05-27","73.0"
"8","79.49688776549999","2019-06-14","94.0"
"9","81.42807185749999","2019-07-24","95.0"
"10","58.3667564578","2019-04-05","54.5"
"11","14.796400972199999","2019-03-12","14.0"
"12","63.3040889952","2019-07-08","34.0"
"13","4.2717747798","2019-05-16","49.0"
"14","17.8823759633","2019-02-21","30.0"
"15","51.873945854400006","2019-05-03","90.0"
"16","5.5861840187","2019-01-25","28.0"
"17","27.0049156782","2019-05-11","66.0"
"18","16.3325468625","1899-12-30","59.0"
"19","14.028323782199998","1899-12-30","55.0"
"20","12.5725557276","2019-06-30","36.0"
"21","34.25095915","2019-05-07","38.0"
"22","29.533344909599997","2019-01-29","55.0"
"23","19.2433913784","2019-02-09","93.0"
"24","32.190699585","2019-08-19","65.0"
"25","54.5963812794","2019-05-09","62.0"
"26","18.361773452399998","2019-02-07","59.0"
"27","14.694435307200001","2019-04-01","91.0"
"28","76.59384570399999","2019-02-18","54.0"
"29","12.1952399652","2019-08-28","29.0"
"30","20.091393837899997","2019-04-11","84.0"
"31","44.158772913600004","2019-06-22","40.0"
"32","19.8043823016","2019-04-27","59.0"
"33","23.746916004","1899-12-30","70.0"
"34","7.557287723049999","1899-12-30","59.0"
"35","8.9040319704","2019-07-24","78.0"
"36","8.665552718","2019-07-12","97.0"
"37","2.5935373621799998","2019-03-20","19.0"
"38","7.129086924399999","2019-05-30","59.5"
"39","1.0735992631","2019-03-08","100.0"
"40","7.327826254500001","2019-02-23","97.0"
"41","43.7238628398","2019-07-08","10.0"
"42","9.18278987","2019-07-27","36.0"
"43","79.07391966719999","2019-04-12","56.0"
"44","29.3574029265","2019-06-03","76.0"
"45","26.7646011996","2019-08-27","78.0"
"46","39.8684021372","2019-05-07","40.0"
"47","4.5325546932","2019-03-12","48.0"
"48","37.650415263999996","1899-12-30","63.0"
"49","57.122609512400004","1899-12-30","63.0"
"50","6.01005283125","2019-02-28","63.0"
"51","43.8216748534","2019-03-10","72.0"
"52","26.9410952646","2019-04-10","92.0"
"53","5.797468695699999","2019-01-23","52.0"
"54","3.35703988754","2019-05-13","53.0"
"55","0.080081657061","2019-02-15","20.0"
"56","4.81497254322","2019-04-03","23.0"
"57","22.307676036300002","2019-03-08","26.0"
"58","9.81909796","2019-06-17","35.0"
"59","19.747975556700002","2019-08-15","32.0"
"60","12.326808482299999","2019-07-04","65.0"
"61","50.8081532694","2019-01-04","57.0"
"62","35.1871914564","2019-05-28","55.0"
"63","2.5183632469000004","1899-12-30","64.0"
"64","60.492446677000004","1899-12-30","98.0"
"65","31.948325252800004","2019-03-07","97.0"
"66","3.418244105","2019-04-13","100.0"
"67","13.534072952399999","2019-05-27","51.0"
"68","4.4580926016","2019-08-06","24.0"
"69","49.88545923","2019-07-04","98.0"
"70","14.0564595574","2019-01-08","43.0"
"71","5.248648589750001","2019-04-13","91.0"
"72","7.812132840199999","2019-04-18","86.0"
"73","20.198965826","2019-04-30","81.0"
"74","12.879191691599999","2019-06-22","71.0"
"75","3.074988976","2019-05-02","74.0"
"76","74.659840947","2019-02-02","71.0"
"77","5.7425378584","2019-06-13","65.0"
"78","24.571090156799997","1899-12-30","15.0"
"79","59.088077567999996","1899-12-30","21.0"
"80","4.21850934","2019-07-06","53.0"
"81","1.04982608232","2019-08-21","36.0"
"82","5.9870974361","2019-03-11","36.5"
"83","26.763922999400002","2019-02-20","37.0"
"84","12.2968482148","2019-07-26","74.0"
"85","0.084429380565","2019-08-15","65.0"
"86","2.7936156611999996","2019-05-26","98.0"
"87","14.518926048","2019-04-26","87.0"
"88","2.85826451472","2019-05-21","53.0"
"89","37.925601487499996","2019-06-05","42.0"
"90","4.33260343107","2019-01-01","31.0"
"91","3.9393080135999994","2019-02-03","74.0"
"92","63.044268253199995","2019-08-02","99.0"
"93","40.7840036296","2019-07-20","67.0"
"94","3.5211040781","2019-08-24","57.0"
"95","15.7224101588","2019-06-24","39.0"
"96","72.716321926","2019-05-16","21.0"
"97","32.982600043599994","2019-01-08","56.0"
"98","34.84989082","2019-04-15","46.0"
"99","37.9260206985","2019-08-23","90.0"
