"item_id","result","date","new_value"
"1","20.773175355","2019-04-12","47.0"
"2","1.97646355136","2019-06-19","80.0"
"3","36.7666523028","1899-12-30","93.0"
"4","27.471275097899998","1899-12-30","84.0"
"5","37.7317198623","2019-08-13","75.0"
"6","40.875316272999996","2019-03-17","92.0"
"7","5.1457665756","2019-01-19","93.0"
"8","10.5421141112","2019-02-28","76.0"
"9","4.085710216","2019-08-14","14.0"
"10","46.011914121900006","2019-05-26","17.5"
"11","35.953891288","2019-04-10","21.0"
"12","22.6721442207","2019-07-24","71.0"
"13","60.2874426708","2019-02-16","91.0"
"14","4.820518674","2019-04-28","67.0"
"15","17.2411429288","2019-01-05","83.0"
"16","86.6103402495","2019-06-15","72.0"
"17","28.872066067","2019-01-11","19.0"
"18","50.443551138","1899-12-30","50.0"
"19","73.02458873159999","1899-12-30","57.0"
"20","19.074616992","2019-07-21","41.0"
"21","13.3734061665","2019-03-03","33.0"
"22","1.09013127762","2019-04-22","15.0"
"23","2.14862645375","2019-07-13","71.0"
"24","24.175758915000003","2019-02-23","63.0"
"25","12.2036207225","2019-02-18","62.5"
"26","1.19957040484","2019-05-04","62.0"
"27","51.838366549","2019-06-18","25.0"
"28","28.586016639","2019-03-23","32.0"
"29","12.584508417699999","2019-07-08","82.0"
"30","0.26451987497","2019-06-07","92.0"
"31","13.656051178","2019-02-10","76.0"
"32","0.7909113114","2019-06-08","39.0"
"33","51.313432465199995","1899-12-30","70.0"
"34","26.141604692399998","1899-12-30","77.0"
"35","46.090520074000004","2019-01-02","53.5"
"36","23.7263906815","2019-07-10","30.0"
"37","30.7033393155","2019-03-10","58.0"
"38","7.4083293739","2019-07-18","58.5"
"39","29.214168627","2019-01-14","59.0"
"40","24.9465650325","2019-03-25","38.0"
"41","23.9157179898","2019-04-25","40.0"
"42","44.7228179396","2019-01-23","62.0"
"43","39.9650298476","2019-03-25","81.0"
"44","40.6174682466","2019-01-24","100.0"
"45","65.9039311194","2019-01-12","46.0"
"46","5.31552925875","2019-08-02","90.0"
"47","34.7912650644","2019-02-22","46.0"
"48","43.9148733984","1899-12-30","44.0"
"49","43.7091380623","1899-12-30","68.5"
"50","29.4484012866","2019-08-17","93.0"
"51","50.033371312","2019-04-13","80.0"
"52","16.9530778095","2019-06-08","15.0"
"53","7.889931593699999","2019-06-13","19.0"
"54","67.5189836604","2019-08-16","47.0"
"55","45.2086083939","2019-02-01","84.0"
"56","46.1062285266","2019-06-06","54.0"
"57","6.0412526447","2019-03-21","24.0"
"58","7.4586892094","2019-03-25","63.0"
"59","53.0871010158","2019-01-04","89.0"
"60","23.8846056876","2019-07-11","75.0"
"61","62.0817596568","2019-04-06","41.0"
"62","50.3742693308","2019-03-02","70.0"
"63","1.8564618338","1899-12-30","40.0"
"64","15.3619748552","1899-12-30","13.0"
"65","10.919041665","2019-08-23","66.0"
"66","9.2814533154","2019-07-12","58.0"
"67","61.64693624","2019-04-11","53.0"
"68","9.787445567399999","2019-07-01","12.0"
"69","36.92243268","2019-03-19","18.0"
"70","14.3264500713","2019-03-18","83.0"
"71","57.4661942701","2019-02-11","74.0"
"72","47.0197005663","2019-04-14","78.5"
"73","36.6107524685","2019-08-09","83.0"
"74","24.516362804400003","2019-02-07","48.0"
"75","89.70532881300001","2019-07-02","35.0"
"76","23.2115982264","2019-03-20","29.0"
"77","28.5857723463","2019-06-12","59.0"
"78","13.2183216763","1899-12-30","32.0"
"79","10.324109933199999","1899-12-30","51.0"
"80","58.2042811185","2019-08-04","44.0"
"81","16.4281908772","2019-07-11","88.0"
"82","49.480910208","2019-06-19","53.0"
"83","48.257972162399994","2019-06-24","18.0"
"84","20.1475555454","2019-06-30","65.0"
"85","6.8039725008","2019-06-12","91.0"
"86","25.456192085799998","2019-07-31","36.0"
"87","3.3538915175","2019-07-09","40.0"
"88","8.7305239542","2019-04-12","57.0"
"89","51.3926596456","2019-07-26","44.5"
"90","24.5921995272","2019-03-20","32.0"
"91","25.353802008","2019-02-03","43.0"
"92","49.132518356599995","2019-01-07","55.0"
"93","6.661531611","2019-04-01","63.0"
"94","14.9644118116","2019-07-12","57.0"
"95","0.36436029894","2019-06-15","41.0"
"96","13.2041183778","2019-03-30","25.0"
"97","46.988852069500005","2019-08-15","50.0"
"98","2.8970351937800003","2019-02-09","86.0"
"99","0.30586580556","2019-06-17","1.0"
